symbol,ex_date,record_date,payable_date,is_special,amount,note,pct_change_from_prev,pct_change_from_prev_year,prior_12m_yield
COPX,2025-12-30,2025-12-30,2026-01-07,,1.6725,,,, 
COPX,2025-06-27,2025-06-27,2025-07-07,,0.2497,,,, 
COPX,2024-12-30,2024-12-30,2025-01-07,,0.5303,,,, 
COPX,2024-06-27,2024-06-27,2024-07-05,,0.1588,,,, 
COPX,2023-12-28,2023-12-29,2024-01-08,,0.3907,,,, 
COPX,2023-06-29,2023-06-30,2023-07-10,,0.5048,,,, 
COPX,2022-12-29,2022-12-30,2023-01-09,,0.3955,,,, 
COPX,2022-06-29,2022-06-30,2022-07-08,,0.7179,,,, 
COPX,2021-12-30,2021-12-31,2022-01-07,,0.3852,,,, 
COPX,2021-06-29,2021-06-30,2021-07-08,,0.1613,,,, 
COPX,2020-12-30,2020-12-31,2021-01-08,,0.3226,,,, 
COPX,2020-06-29,2020-06-30,2020-07-08,,0.0712,,,, 
COPX,2011-12-28,2011-12-30,2012-01-09,,0.0161,capital_gain_likely,,,
COPX,2011-12-28,2011-12-30,2012-01-09,,1.0053,capital_gain_likely,,,
