symbol,ex_date,record_date,payable_date,is_special,amount,note,pct_change_from_prev,pct_change_from_prev_year,prior_12m_yield
GDX,2025-12-22,2025-12-22,2025-12-26,,0.6331,,,,
GDX,2024-12-23,2024-12-23,2024-12-24,,0.4025,,,,
GDX,2023-12-18,2023-12-19,2023-12-22,,0.5001,,,,
GDX,2022-12-19,2022-12-20,2022-12-23,,0.4762,,,,
GDX,2021-12-20,2021-12-21,2021-12-27,,0.5348,,,,
GDX,2020-12-21,2020-12-22,2020-12-28,,0.1899,,,,
GDX,2019-12-23,2019-12-24,2019-12-30,,0.1905,,,,
GDX,2018-12-20,2018-12-21,2018-12-27,,0.1050,,,,
GDX,2017-12-18,2017-12-19,2017-12-22,,0.1760,,,,
GDX,2016-12-19,2016-12-21,2016-12-23,,0.0550,,,,
GDX,2015-12-21,2015-12-23,2015-12-28,,0.1160,,,,
GDX,2014-12-22,2014-12-24,2014-12-29,,0.1210,,,,
GDX,2013-12-23,2013-12-26,2013-12-30,,0.1910,,,,
GDX,2012-12-24,2012-12-27,2012-12-31,,0.4620,,,,
GDX,2011-12-23,2011-12-28,2011-12-30,,0.1500,,,,
GDX,2010-12-23,2010-12-28,2010-12-30,,0.4010,,,,
