symbol,ex_date,record_date,payable_date,is_special,amount,note,pct_change_from_prev,pct_change_from_prev_year,prior_12m_yield
SPY,2025-12-31,2025-12-31,2026-01-30,Y,0.0000,Potential Excise Distribution,,,
SPY,2025-12-19,2025-12-19,2026-01-30,,1.9934,Dividend income or Cash Dividend,8.9,1.4,1.08
SPY,2025-09-19,2025-09-19,2025-10-31,,1.8311,Dividend income or Cash Dividend,4.0,4.9,1.10
SPY,2025-06-20,2025-06-20,2025-07-31,,1.7611,Dividend income or Cash Dividend,3.9,0.1,1.21
SPY,2025-03-21,2025-03-21,2025-04-30,,1.6955,Dividend income or Cash Dividend,-13.7,6.3,1.28
SPY,2024-12-31,2024-12-31,2025-01-31,Y,0.0000,Potential Excise Distribution,,,
SPY,2024-12-20,2024-12-20,2025-01-31,,1.9655,Dividend income or Cash Dividend,12.6,3.1,1.22
SPY,2024-09-20,2024-09-20,2024-10-31,,1.7455,Dividend income or Cash Dividend,-0.8,10.3,1.25
SPY,2024-06-21,2024-06-21,2024-07-31,,1.7590,Dividend income or Cash Dividend,10.3,7.4,1.27
SPY,2024-03-15,2024-03-18,2024-04-30,,1.5949,Dividend income or Cash Dividend,-16.3,5.9,1.33
SPY,2023-12-28,2023-12-29,2024-01-31,Y,0.0000,Potential Excise Distribution,,,
SPY,2023-12-15,2023-12-18,2024-01-31,,1.9061,Dividend income or Cash Dividend,20.4,7.0,1.44
SPY,2023-09-15,2023-09-18,2023-10-31,,1.5832,Dividend income or Cash Dividend,-3.4,-0.8,1.49
SPY,2023-06-16,2023-06-20,2023-07-31,,1.6384,Dividend income or Cash Dividend,8.8,3.9,1.52
SPY,2023-03-17,2023-03-20,2023-04-28,,1.5062,Dividend income or Cash Dividend,-15.5,10.3,1.69
SPY,2022-12-29,2022-12-30,2023-01-31,Y,0.0000,,,,
SPY,2022-12-16,2022-12-19,2023-01-31,,1.7814,Dividend income or Cash Dividend,11.6,9.1,1.69
SPY,2022-09-16,2022-09-19,2022-10-31,,1.5964,Dividend income or Cash Dividend,1.2,11.8,1.65
SPY,2022-06-17,2022-06-21,2022-07-29,,1.5769,Dividend income or Cash Dividend,15.4,14.6,1.72
